id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
217;07.09.2019 12:10;Control;5;1;29;1;2;0;1;1;NA;6;6;4;4
218;07.09.2019 12:14;Trust_promise;4;1;66;0;2;0;3;0;0;5;11;11;9
219;07.09.2019 12:16;Trust_promise;2;1;29;0;2;0;1;1;0;6;1;11;3
220;07.09.2019 12:21;Trust_promise;1;0;59;1;4;1;2;1;1;3;1;8;9
221;07.09.2019 12:24;Control;1;0;30;1;3;1;1;1;1;6;2;11;8
222;07.09.2019 12:34;Trust_promise;4;1;47;1;4;1;1;1;NA;6;6;8;8
223;07.09.2019 12:26;Trust_promise;3;0;24;1;3;1;2;1;NA;6;6;11;6
224;07.09.2019 12:35;Control;6;1;26;0;2;0;2;1;0;4;11;11;9
225;07.09.2019 12:35;Control;4;0;75;1;2;0;3;0;0;9;6;11;7
226;07.09.2019 12:37;Trust_promise;2;0;18;0;2;0;1;1;0;6;3;8;8
227;07.09.2019 12:37;Control;1;0;57;0;3;1;1;1;0;8;6;8;6
228;07.09.2019 12:36;Trust_promise;5;0;36;1;4;1;1;1;0;6;11;11;9
229;07.09.2019 12:38;Control;1;0;27;0;3;1;2;1;1;9;4;9;6
230;07.09.2019 12:39;Trust_promise;5;0;31;1;3;1;2;1;1;3;2;9;8
231;07.09.2019 12:44;Control;5;0;43;0;3;1;1;1;1;6;2;9;7
232;07.09.2019 12:55;Trust_promise;5;0;34;1;4;1;2;1;1;7;1;11;5
233;07.09.2019 13:03;Trust_promise;4;1;48;1;3;1;2;1;0;5;3;11;9
234;07.09.2019 13:00;Control;2;0;26;1;2;0;3;0;0;6;2;10;6
235;07.09.2019 13:03;Trust_promise;1;0;31;0;4;1;2;1;1;2;1;5;5
236;07.09.2019 13:02;Control;1;1;29;0;2;0;1;1;0;5;1;11;4
237;07.09.2019 13:06;Control;3;0;58;0;2;0;3;0;0;4;8;10;8
238;07.09.2019 13:09;Trust_promise;6;0;63;1;4;1;1;1;1;6;7;6;5
239;07.09.2019 13:12;Control;6;0;22;1;3;1;2;1;0;8;1;7;1
240;07.09.2019 13:11;Trust_promise;2;0;33;0;3;1;2;1;1;3;1;11;7
241;07.09.2019 13:15;Trust_promise;2;0;72;0;4;1;1;1;1;8;9;6;9
242;07.09.2019 13:20;Control;4;0;26;1;3;1;2;1;1;6;1;11;9
243;07.09.2019 13:24;Trust_promise;1;0;48;1;2;0;3;0;0;6;1;11;7
244;07.09.2019 13:27;Trust_promise;3;0;63;0;2;0;3;0;1;5;5;7;8
245;07.09.2019 13:28;Control;4;1;24;0;3;1;1;1;0;6;1;11;6
246;07.09.2019 13:33;Control;4;1;23;0;3;1;1;1;0;1;1;11;8
247;07.09.2019 13:35;Control;1;0;30;1;3;1;1;1;0;2;1;11;8
248;07.09.2019 13:39;Trust_promise;3;0;41;1;3;1;1;1;NA;10;1;11;3
